|Tau|fi|
|0.06771|-0.00334|
|0.13542|-0.00332|
|0.20313|-0.00331|
|0.27083|-0.00330|
|0.33854|-0.00328|
|0.40625|-0.00327|
|0.47396|-0.00326|
|0.54167|-0.00324|
|0.60938|-0.00323|
|0.67708|-0.00321|
|0.74479|-0.00320|
|0.81250|-0.00319|
|0.88021|-0.00317|
|0.94792|-0.00316|
|1.01562|-0.00314|
|1.08333|-0.00313|
|1.15104|-0.00312|
|1.21875|-0.00310|
|1.28646|-0.00309|
|1.35417|-0.00307|
|1.42188|-0.00306|
|1.48958|-0.00305|
|1.55729|-0.00303|
|1.62500|-0.00302|
|1.69271|-0.00300|
|1.76042|-0.00299|
|1.82813|-0.00297|
|1.89583|-0.00296|
|1.96354|-0.00295|
|2.03125|-0.00293|
|2.09896|-0.00292|
|2.16667|-0.00290|
|2.23438|-0.00289|
|2.30208|-0.00288|
|2.36979|-0.00286|
|2.43750|-0.00285|
|2.50521|-0.00283|
|2.57292|-0.00282|
|2.64062|-0.00280|
|2.70833|-0.00279|
|2.77604|-0.00278|
|2.84375|-0.00276|
|2.91146|-0.00275|
|2.97917|-0.00273|
|3.04687|-0.00272|
|3.11458|-0.00270|
|3.18229|-0.00269|
|3.25000|-0.00268|
|3.31771|-0.00266|
|3.38542|-0.00265|
|3.45312|-0.00263|
|3.52083|-0.00262|
|3.58854|-0.00260|
|3.65625|-0.00259|
|3.72396|-0.00258|
|3.79167|-0.00256|
|3.85937|-0.00255|
|3.92708|-0.00253|
|3.99479|-0.00252|
|4.06250|-0.00250|
|4.13021|-0.00249|
|4.19792|-0.00248|
|4.26562|-0.00246|
|4.33333|-0.00245|
|4.40104|-0.00243|
|4.46875|-0.00242|
|4.53646|-0.00241|
|4.60417|-0.00239|
|4.67187|-0.00238|
|4.73958|-0.00236|
|4.80729|-0.00235|
|4.87500|-0.00234|
|4.94271|-0.00232|
|5.01042|-0.00231|
|5.07813|-0.00229|
|5.14583|-0.00228|
|5.21354|-0.00227|
|5.28125|-0.00225|
|5.34896|-0.00224|
|5.41667|-0.00222|
|5.48438|-0.00221|
|5.55208|-0.00220|
|5.61979|-0.00218|
|5.68750|-0.00217|
|5.75521|-0.00215|
|5.82292|-0.00214|
|5.89063|-0.00213|
|5.95833|-0.00211|
|6.02604|-0.00210|
|6.09375|-0.00209|
|6.16146|-0.00207|
|6.22917|-0.00206|
|6.29688|-0.00204|
|6.36458|-0.00203|
|6.43229|-0.00202|
|6.50000|-0.00200|
|6.56771|-0.00199|
|6.63542|-0.00198|
|6.70313|-0.00196|
|6.77083|-0.00195|
|6.83854|-0.00194|
|6.90625|-0.00192|
|6.97396|-0.00191|
|7.04167|-0.00190|
|7.10938|-0.00188|
|7.17708|-0.00187|
|7.24479|-0.00186|
|7.31250|-0.00184|
|7.38021|-0.00183|
|7.44792|-0.00182|
|7.51563|-0.00180|
|7.58333|-0.00179|
|7.65104|-0.00178|
|7.71875|-0.00177|
|7.78646|-0.00175|
|7.85417|-0.00174|
|7.92188|-0.00173|
|7.98958|-0.00171|
|8.05729|-0.00170|
|8.12500|-0.00169|
|8.19271|-0.00167|
|8.26042|-0.00166|
|8.32813|-0.00165|
|8.39583|-0.00164|
|8.46354|-0.00162|
|8.53125|-0.00161|
|8.59896|-0.00160|
|8.66667|-0.00159|
|8.73438|-0.00157|
|8.80208|-0.00156|
|8.86979|-0.00155|
|8.93750|-0.00154|
|9.00521|-0.00152|
|9.07292|-0.00151|
|9.14063|-0.00150|
|9.20833|-0.00149|
|9.27604|-0.00148|
|9.34375|-0.00146|
|9.41146|-0.00145|
|9.47917|-0.00144|
|9.54688|-0.00143|
|9.61458|-0.00142|
|9.68229|-0.00140|
|9.75000|-0.00139|
|9.81771|-0.00138|
|9.88542|-0.00137|
|9.95312|-0.00136|
|10.02083|-0.00134|
|10.08854|-0.00133|
|10.15625|-0.00132|
|10.22396|-0.00131|
|10.29167|-0.00130|
|10.35937|-0.00129|
|10.42708|-0.00127|
|10.49479|-0.00126|
|10.56250|-0.00125|
|10.63021|-0.00124|
|10.69792|-0.00123|
|10.76562|-0.00122|
|10.83333|-0.00121|
|10.90104|-0.00120|
|10.96875|-0.00118|
|11.03646|-0.00117|
|11.10417|-0.00116|
|11.17187|-0.00115|
|11.23958|-0.00114|
|11.30729|-0.00113|
|11.37500|-0.00112|
|11.44271|-0.00111|
|11.51042|-0.00110|
|11.57812|-0.00109|
|11.64583|-0.00107|
|11.71354|-0.00106|
|11.78125|-0.00105|
|11.84896|-0.00104|
|11.91667|-0.00103|
|11.98437|-0.00102|
|12.05208|-0.00101|
|12.11979|-0.00100|
|12.18750|-0.00099|
|12.25521|-0.00098|
|12.32292|-0.00097|
|12.39062|-0.00096|
|12.45833|-0.00095|
|12.52604|-0.00094|
|12.59375|-0.00093|
|12.66146|-0.00092|
|12.72917|-0.00091|
|12.79687|-0.00090|
|12.86458|-0.00089|
|12.93229|-0.00088|
|13.00000|-0.00087|
|13.06771|-0.00086|
|13.13542|-0.00085|
|13.20312|-0.00084|
|13.27083|-0.00083|
|13.33854|-0.00082|
