|Tau|fi|
|0.03385|-0.01046|
|0.06771|-0.01040|
|0.10156|-0.01034|
|0.13542|-0.01028|
|0.16927|-0.01022|
|0.20313|-0.01016|
|0.23698|-0.01010|
|0.27083|-0.01004|
|0.30469|-0.00998|
|0.33854|-0.00992|
|0.37240|-0.00986|
|0.40625|-0.00980|
|0.44010|-0.00975|
|0.47396|-0.00969|
|0.50781|-0.00963|
|0.54167|-0.00957|
|0.57552|-0.00952|
|0.60938|-0.00946|
|0.64323|-0.00940|
|0.67708|-0.00935|
|0.71094|-0.00929|
|0.74479|-0.00923|
|0.77865|-0.00918|
|0.81250|-0.00912|
|0.84635|-0.00907|
|0.88021|-0.00901|
|0.91406|-0.00896|
|0.94792|-0.00891|
|0.98177|-0.00885|
|1.01563|-0.00880|
|1.04948|-0.00874|
|1.08333|-0.00869|
|1.11719|-0.00864|
|1.15104|-0.00859|
|1.18490|-0.00853|
|1.21875|-0.00848|
|1.25260|-0.00843|
|1.28646|-0.00838|
|1.32031|-0.00833|
|1.35417|-0.00827|
|1.38802|-0.00822|
|1.42187|-0.00817|
|1.45573|-0.00812|
|1.48958|-0.00807|
|1.52344|-0.00802|
|1.55729|-0.00797|
|1.59115|-0.00792|
|1.62500|-0.00787|
|1.65885|-0.00782|
|1.69271|-0.00778|
|1.72656|-0.00773|
|1.76042|-0.00768|
|1.79427|-0.00763|
|1.82812|-0.00758|
|1.86198|-0.00753|
|1.89583|-0.00749|
|1.92969|-0.00744|
|1.96354|-0.00739|
|1.99740|-0.00735|
|2.03125|-0.00730|
|2.06510|-0.00725|
|2.09896|-0.00721|
|2.13281|-0.00716|
|2.16667|-0.00712|
|2.20052|-0.00707|
|2.23437|-0.00702|
|2.26823|-0.00698|
|2.30208|-0.00694|
|2.33594|-0.00689|
|2.36979|-0.00685|
|2.40365|-0.00680|
|2.43750|-0.00676|
|2.47135|-0.00671|
|2.50521|-0.00667|
|2.53906|-0.00663|
|2.57292|-0.00658|
|2.60677|-0.00654|
|2.64063|-0.00650|
|2.67448|-0.00646|
|2.70833|-0.00641|
|2.74219|-0.00637|
|2.77604|-0.00633|
|2.80990|-0.00629|
|2.84375|-0.00625|
|2.87760|-0.00621|
|2.91146|-0.00617|
|2.94531|-0.00613|
|2.97917|-0.00608|
|3.01302|-0.00604|
|3.04688|-0.00600|
|3.08073|-0.00596|
|3.11458|-0.00592|
|3.14844|-0.00588|
|3.18229|-0.00585|
|3.21615|-0.00581|
|3.25000|-0.00577|
|3.28385|-0.00573|
|3.31771|-0.00569|
|3.35156|-0.00565|
|3.38542|-0.00561|
|3.41927|-0.00558|
|3.45313|-0.00554|
|3.48698|-0.00550|
|3.52083|-0.00546|
|3.55469|-0.00543|
|3.58854|-0.00539|
|3.62240|-0.00535|
|3.65625|-0.00531|
|3.69010|-0.00528|
|3.72396|-0.00524|
|3.75781|-0.00521|
|3.79167|-0.00517|
|3.82552|-0.00513|
|3.85938|-0.00510|
|3.89323|-0.00506|
|3.92708|-0.00503|
|3.96094|-0.00499|
|3.99479|-0.00496|
|4.02865|-0.00492|
|4.06250|-0.00489|
|4.09635|-0.00486|
|4.13021|-0.00482|
|4.16406|-0.00479|
|4.19792|-0.00475|
|4.23177|-0.00472|
|4.26563|-0.00469|
|4.29948|-0.00465|
|4.33333|-0.00462|
|4.36719|-0.00459|
|4.40104|-0.00455|
|4.43490|-0.00452|
|4.46875|-0.00449|
|4.50260|-0.00446|
|4.53646|-0.00443|
|4.57031|-0.00439|
|4.60417|-0.00436|
|4.63802|-0.00433|
|4.67188|-0.00430|
|4.70573|-0.00427|
|4.73958|-0.00424|
|4.77344|-0.00421|
|4.80729|-0.00417|
|4.84115|-0.00414|
|4.87500|-0.00411|
|4.90885|-0.00408|
|4.94271|-0.00405|
|4.97656|-0.00402|
|5.01042|-0.00399|
|5.04427|-0.00396|
|5.07812|-0.00393|
|5.11198|-0.00391|
|5.14583|-0.00388|
|5.17969|-0.00385|
|5.21354|-0.00382|
|5.24740|-0.00379|
|5.28125|-0.00376|
|5.31510|-0.00373|
|5.34896|-0.00370|
|5.38281|-0.00368|
|5.41667|-0.00365|
|5.45052|-0.00362|
|5.48437|-0.00359|
|5.51823|-0.00357|
|5.55208|-0.00354|
|5.58594|-0.00351|
|5.61979|-0.00348|
|5.65365|-0.00346|
|5.68750|-0.00343|
|5.72135|-0.00340|
|5.75521|-0.00338|
|5.78906|-0.00335|
|5.82292|-0.00333|
|5.85677|-0.00330|
|5.89062|-0.00327|
|5.92448|-0.00325|
|5.95833|-0.00322|
|5.99219|-0.00320|
|6.02604|-0.00317|
|6.05990|-0.00315|
|6.09375|-0.00312|
|6.12760|-0.00310|
|6.16146|-0.00307|
|6.19531|-0.00305|
|6.22917|-0.00302|
|6.26302|-0.00300|
|6.29687|-0.00297|
|6.33073|-0.00295|
|6.36458|-0.00293|
|6.39844|-0.00290|
|6.43229|-0.00288|
|6.46615|-0.00286|
|6.50000|-0.00283|
|6.53385|-0.00281|
|6.56771|-0.00279|
|6.60156|-0.00276|
|6.63542|-0.00274|
|6.66927|-0.00272|
|6.70312|-0.00269|
|6.73698|-0.00267|
|6.77083|-0.00265|
|6.80469|-0.00263|
|6.83854|-0.00261|
|6.87240|-0.00258|
|6.90625|-0.00256|
|6.94010|-0.00254|
|6.97396|-0.00252|
|7.00781|-0.00250|
|7.04167|-0.00248|
|7.07552|-0.00245|
|7.10937|-0.00243|
|7.14323|-0.00241|
|7.17708|-0.00239|
|7.21094|-0.00237|
|7.24479|-0.00235|
|7.27865|-0.00233|
|7.31250|-0.00231|
|7.34635|-0.00229|
|7.38021|-0.00227|
|7.41406|-0.00225|
|7.44792|-0.00223|
|7.48177|-0.00221|
|7.51562|-0.00219|
|7.54948|-0.00217|
|7.58333|-0.00215|
|7.61719|-0.00213|
|7.65104|-0.00211|
|7.68490|-0.00209|
|7.71875|-0.00207|
|7.75260|-0.00205|
|7.78646|-0.00204|
|7.82031|-0.00202|
|7.85417|-0.00200|
|7.88802|-0.00198|
|7.92187|-0.00196|
|7.95573|-0.00194|
|7.98958|-0.00193|
|8.02344|-0.00191|
|8.05729|-0.00189|
|8.09115|-0.00187|
|8.12500|-0.00185|
|8.15885|-0.00184|
|8.19271|-0.00182|
|8.22656|-0.00180|
|8.26042|-0.00178|
|8.29427|-0.00177|
|8.32812|-0.00175|
|8.36198|-0.00173|
|8.39583|-0.00172|
|8.42969|-0.00170|
|8.46354|-0.00168|
|8.49740|-0.00167|
|8.53125|-0.00165|
|8.56510|-0.00163|
|8.59896|-0.00162|
|8.63281|-0.00160|
|8.66667|-0.00159|
|8.70052|-0.00157|
|8.73437|-0.00155|
|8.76823|-0.00154|
|8.80208|-0.00152|
|8.83594|-0.00151|
|8.86979|-0.00149|
|8.90365|-0.00148|
|8.93750|-0.00146|
|8.97135|-0.00144|
|9.00521|-0.00143|
|9.03906|-0.00141|
|9.07292|-0.00140|
|9.10677|-0.00139|
|9.14062|-0.00137|
|9.17448|-0.00136|
|9.20833|-0.00134|
|9.24219|-0.00133|
|9.27604|-0.00131|
|9.30990|-0.00130|
|9.34375|-0.00128|
|9.37760|-0.00127|
|9.41146|-0.00126|
|9.44531|-0.00124|
|9.47917|-0.00123|
|9.51302|-0.00121|
|9.54687|-0.00120|
|9.58073|-0.00119|
|9.61458|-0.00117|
|9.64844|-0.00116|
|9.68229|-0.00115|
|9.71615|-0.00113|
|9.75000|-0.00112|
|9.78385|-0.00111|
|9.81771|-0.00109|
|9.85156|-0.00108|
|9.88542|-0.00107|
|9.91927|-0.00106|
|9.95313|-0.00104|
|9.98698|-0.00103|
|10.02083|-0.00102|
|10.05469|-0.00101|
|10.08854|-0.00099|
|10.12240|-0.00098|
|10.15625|-0.00097|
|10.19010|-0.00096|
|10.22396|-0.00095|
|10.25781|-0.00093|
|10.29167|-0.00092|
|10.32552|-0.00091|
|10.35938|-0.00090|
|10.39323|-0.00089|
|10.42708|-0.00088|
|10.46094|-0.00086|
|10.49479|-0.00085|
|10.52865|-0.00084|
|10.56250|-0.00083|
|10.59635|-0.00082|
|10.63021|-0.00081|
|10.66406|-0.00080|
|10.69792|-0.00079|
|10.73177|-0.00077|
|10.76563|-0.00076|
|10.79948|-0.00075|
|10.83333|-0.00074|
|10.86719|-0.00073|
|10.90104|-0.00072|
|10.93490|-0.00071|
|10.96875|-0.00070|
|11.00260|-0.00069|
|11.03646|-0.00068|
|11.07031|-0.00067|
|11.10417|-0.00066|
|11.13802|-0.00065|
|11.17188|-0.00064|
|11.20573|-0.00063|
|11.23958|-0.00062|
|11.27344|-0.00061|
|11.30729|-0.00060|
|11.34115|-0.00059|
|11.37500|-0.00058|
|11.40885|-0.00057|
|11.44271|-0.00056|
|11.47656|-0.00055|
|11.51042|-0.00054|
|11.54427|-0.00054|
|11.57813|-0.00053|
|11.61198|-0.00052|
|11.64583|-0.00051|
|11.67969|-0.00050|
|11.71354|-0.00049|
|11.74740|-0.00048|
|11.78125|-0.00047|
|11.81510|-0.00046|
|11.84896|-0.00046|
|11.88281|-0.00045|
|11.91667|-0.00044|
|11.95052|-0.00043|
|11.98438|-0.00042|
|12.01823|-0.00041|
|12.05208|-0.00041|
|12.08594|-0.00040|
|12.11979|-0.00039|
|12.15365|-0.00038|
|12.18750|-0.00037|
|12.22135|-0.00036|
|12.25521|-0.00036|
|12.28906|-0.00035|
|12.32292|-0.00034|
|12.35677|-0.00033|
|12.39063|-0.00033|
|12.42448|-0.00032|
|12.45833|-0.00031|
|12.49219|-0.00030|
|12.52604|-0.00030|
|12.55990|-0.00029|
|12.59375|-0.00028|
|12.62760|-0.00027|
|12.66146|-0.00027|
|12.69531|-0.00026|
|12.72917|-0.00025|
|12.76302|-0.00025|
|12.79688|-0.00024|
|12.83073|-0.00023|
|12.86458|-0.00022|
|12.89844|-0.00022|
|12.93229|-0.00021|
|12.96615|-0.00020|
|13.00000|-0.00020|
